PSh_profile_pe	PSh_profile_vd	PSh_profile_both	logMstar	logVrot	t_leda	logfgas
0	0		0.000000	9.059999	1.924545	2.000000	0.023384
0	0		0.000000	8.705000	1.924391	9.900000	0.238701
0	0		0.000000	9.578000	1.920159	8.900000	-1.078345
0	0		0.000000	8.875000	1.887379	7.900000	0.315673
0	0		0.000000	8.741000	1.667525	9.400000	-0.551973
0	0		0.000000	9.251000	1.702192	9.000000	-0.391763
0	0		0.000000	8.811000	1.731519	8.800000	0.293907
0	0		0.000000	9.370999	1.809644	5.200000	-0.213862
0	0		0.000000	8.758001	1.868093	8.000000	0.152194
0	0		0.000000	8.924000	1.968898	8.900000	-0.495841
0	0		0.000000	8.762999	1.940775	8.000000	0.274431
0	0		0.000000	9.119002	1.863785	8.000000	0.044804
0	0		0.000000	9.202000	1.965432	8.000000	-0.036593
0	0		0.000000	8.911000	1.799279	8.800000	0.009673
0	0		0.000000	9.039001	1.812481	9.000000	-0.541567
0	0		0.000000	9.409001	2.000309	6.000000	-0.049323
1	1		1.000000	9.635000	1.918049	2.000000	-1.451702
0	0		0.000000	8.816000	1.617527	8.300000	0.038151
0	0		0.000000	8.992000	1.922720	8.700000	0.317999
0	0		0.000000	9.500000	1.830762	8.700000	-0.383689
0	0		0.000000	9.156001	1.841303	8.900000	0.059871
0	0		0.000000	8.841000	1.808308	7.900000	0.320646
0	0		0.000000	9.524999	1.739682	9.700000	-0.850954
0	0		0.000000	8.584000	1.853607	7.900000	0.405948
0	0		0.000000	8.843000	1.880238	6.500000	-0.295527
0	0		0.000000	9.314000	1.948015	9.600000	0.013329
